Event,Country,First Run,Next Anniversary,Anniversary Number
Rosensteinpark parkrun,Germany,04/06/2022,01/06/2024,2
Salisbury parkrun,United Kingdom,06/06/2015,01/06/2024,9
Sandon Point parkrun,Australia,01/06/2013,01/06/2024,11
Settlers Park parkrun,South Africa,03/06/2023,01/06/2024,1
South Para Reservoir parkrun,Australia,05/06/2021,01/06/2024,3
Thornham Walks parkrun,United Kingdom,03/06/2023,01/06/2024,1
Tidworth parkrun,United Kingdom,04/06/2022,01/06/2024,2
Upton House parkrun,United Kingdom,03/06/2017,01/06/2024,7
"Watergrove parkrun, Rochdale",United Kingdom,07/06/2014,01/06/2024,10
West Beach parkrun,Australia,04/06/2016,01/06/2024,8
Aberdare parkrun,United Kingdom,09/06/2018,08/06/2024,6
Ballito parkrun,South Africa,13/06/2015,08/06/2024,9
Bedford parkrun,United Kingdom,11/06/2011,08/06/2024,13
Bellevue parkrun,Canada,10/06/2017,08/06/2024,7
Bramley parkrun,United Kingdom,13/06/2015,08/06/2024,9
Coffs Harbour parkrun,Australia,10/06/2017,08/06/2024,7
Crane Park parkrun,United Kingdom,09/06/2012,08/06/2024,12
Des Moines Creek parkrun,United States,09/06/2018,08/06/2024,6
Elder Park parkrun,United Kingdom,11/06/2022,08/06/2024,2
Frog Hollow parkrun,Australia,14/06/2014,08/06/2024,10
Goondiwindi parkrun,Australia,11/06/2016,08/06/2024,8
"Heritage Harbor parkrun, Ottawa",United States,10/06/2017,08/06/2024,7
Jindabyne parkrun,Australia,09/06/2018,08/06/2024,6
Kashiwanoha parkrun,Japan,08/06/2019,08/06/2024,5
Lillsjön parkrun,Sweden,11/06/2022,08/06/2024,2
Long Eaton parkrun,United Kingdom,13/06/2015,08/06/2024,9
Merrymeeting parkrun,United States,11/06/2022,08/06/2024,2
Mitchelton parkrun,Australia,08/06/2013,08/06/2024,11
Mogol parkrun,South Africa,14/06/2014,08/06/2024,10
Newy parkrun,Australia,09/06/2012,08/06/2024,12
Oosterhout parkrun,Netherlands,10/06/2023,08/06/2024,1
parkrun Ekomarina,Poland,12/06/2021,08/06/2024,3
parkrun Las Aniołowski,Poland,08/06/2019,08/06/2024,5
parkrun Park Modrzewie,Poland,12/06/2021,08/06/2024,3
Queenstown parkrun,New Zealand,09/06/2018,08/06/2024,6
Redland Bay parkrun,Australia,10/06/2017,08/06/2024,7
Shellharbour parkrun,Australia,14/06/2014,08/06/2024,10
Shongweni parkrun,South Africa,08/06/2013,08/06/2024,11
Southport parkrun,United Kingdom,11/06/2016,08/06/2024,8
Springhill parkrun,United Kingdom,09/06/2018,08/06/2024,6
Thomas Mills parkrun,United Kingdom,08/06/2019,08/06/2024,5
Tilgate parkrun,United Kingdom,09/06/2012,08/06/2024,12
Tymon parkrun,Ireland,14/06/2014,08/06/2024,10
Unisee parkrun,Germany,08/06/2019,08/06/2024,5
Worcester Pitchcroft parkrun,United Kingdom,10/06/2017,08/06/2024,7
Wormwood Scrubs parkrun,United Kingdom,11/06/2011,08/06/2024,13
Worthing parkrun,United Kingdom,11/06/2016,08/06/2024,8
Aldenham parkrun,United Kingdom,20/06/2015,15/06/2024,9
Ballincollig parkrun,Ireland,18/06/2016,15/06/2024,8
Banstead Woods parkrun,United Kingdom,16/06/2007,15/06/2024,17
Bayview Road parkrun,Australia,19/06/2021,15/06/2024,3
Brundall parkrun,United Kingdom,20/06/2015,15/06/2024,9
Burley Griffin parkrun,Australia,18/06/2016,15/06/2024,8
Burnham and Highbridge parkrun,United Kingdom,20/06/2015,15/06/2024,9
Carine Glades parkrun,Australia,21/06/2014,15/06/2024,10
Chasewater parkrun,United Kingdom,15/06/2019,15/06/2024,5
Colby parkrun,United Kingdom,21/06/2014,15/06/2024,10
Cradock parkrun,South Africa,15/06/2019,15/06/2024,5
Cwmbran parkrun,United Kingdom,18/06/2016,15/06/2024,8
Delftse Hout parkrun,Netherlands,18/06/2022,15/06/2024,2
Denton Dene parkrun,United Kingdom,17/06/2023,15/06/2024,1
Dolls Point parkrun,Australia,17/06/2017,15/06/2024,7
East Coast Park parkrun,Singapore,21/06/2014,15/06/2024,10
Ebotse parkrun,South Africa,16/06/2012,15/06/2024,12
Emmerwiesen parkrun,Germany,17/06/2023,15/06/2024,1
Flaxmere parkrun,New Zealand,15/06/2019,15/06/2024,5
Frédéric Back parkrun,Canada,17/06/2017,15/06/2024,7
